concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size
4,3,7,200,2229.099,1665.017,559.796,1.00
4,0,8,200,2234.855,1670.413,560.088,1.00
4,1,8,200,2228.011,1674.174,549.713,1.00
4,2,8,200,2220.455,1666.295,550.714,1.00
4,3,8,200,2217.937,1656.605,557.045,1.00
4,0,9,200,2212.215,1654.490,554.236,1.00
4,1,9,200,2222.091,1659.303,558.912,1.00
4,2,9,200,2222.255,1667.404,550.813,1.00
4,3,9,200,2216.436,1660.883,552.493,1.00
8,0,0,200,568.077,0.042,559.799,1.00
8,5,0,200,1116.083,559.901,549.224,1.00
8,6,0,200,1676.125,1109.268,560.055,1.00
8,1,0,200,2239.077,1669.479,561.637,1.00
8,2,0,200,2791.911,2231.259,552.857,1.00
8,3,0,200,3345.238,2784.291,553.582,1.00
8,4,0,200,3905.401,3338.022,559.884,1.00
8,7,0,200,4457.996,3898.033,553.099,1.00
8,0,1,200,4448.703,3887.606,557.183,1.00
8,5,1,200,4453.344,3895.897,553.483,1.00
8,6,1,200,4447.202,3889.512,554.530,1.00
8,1,1,200,4445.510,3882.224,559.954,1.00
8,2,1,200,4444.552,3888.794,552.165,1.00
8,3,1,200,4441.165,3888.111,549.600,1.00
8,4,1,200,4432.922,3877.054,552.164,1.00
8,7,1,200,4438.276,3876.536,558.331,1.00
8,0,2,200,4437.610,3877.883,555.947,1.00
8,5,2,200,4438.030,3880.222,554.058,1.00
8,6,2,200,4437.803,3880.293,553.781,1.00
8,1,2,200,4437.093,3873.749,559.964,1.00
8,2,2,200,4443.404,3882.245,557.260,1.00
8,3,2,200,4453.185,3889.516,559.877,1.00
8,4,2,200,4456.488,3897.231,555.326,1.00
8,7,2,200,4459.259,3894.320,561.037,1.00
8,0,3,200,4453.998,3898.695,551.031,1.00
8,5,3,200,4458.497,3895.546,558.869,1.00
8,6,3,200,4460.007,3901.172,555.760,1.00
8,1,3,200,4462.981,3898.043,562.051,1.00
8,2,3,200,4461.323,3901.199,556.614,1.00
8,3,3,200,4460.228,3897.882,558.155,1.00
8,4,3,200,4458.497,3900.782,553.468,1.00
8,7,3,200,4448.690,3893.269,551.417,1.00
8,0,4,200,4458.347,3893.183,560.981,1.00
8,5,4,200,4453.660,3896.465,553.549,1.00
8,6,4,200,4457.508,3894.923,558.759,1.00
8,1,4,200,4448.474,3891.283,553.310,1.00
8,2,4,200,4442.521,3888.026,550.290,1.00
8,3,4,200,4440.586,3879.225,557.494,1.00
8,4,4,200,4437.497,3883.126,550.390,1.00
8,7,4,200,4442.388,3882.233,556.285,1.00
16,0,0,200,571.101,0.141,555.315,1.00
16,1,0,200,1122.009,555.603,551.265,1.00
16,2,0,200,1676.938,1107.043,555.509,1.00
16,3,0,200,2234.287,1662.700,557.029,1.00
16,4,0,200,2787.667,2219.797,553.496,1.00
16,5,0,200,3340.689,2773.468,553.708,1.00
16,6,0,200,3893.467,3327.314,552.793,1.00
16,7,0,200,4450.224,3880.250,556.457,1.00
16,8,0,200,5005.800,4436.888,555.647,1.00
16,9,0,200,5561.765,4992.686,555.810,1.00
16,10,0,200,6121.441,5548.563,560.223,1.00
16,11,0,200,6670.988,6108.884,550.005,1.00
16,12,0,200,7232.527,6659.013,561.033,1.00
16,13,0,200,7792.658,7220.211,560.420,1.00
16,14,0,200,8347.660,7780.806,554.781,1.00
16,15,0,200,8905.422,8335.695,557.917,1.00
16,0,1,200,8891.976,8335.256,552.856,1.00
16,1,1,200,8895.439,8336.736,554.794,1.00
16,2,1,200,8893.476,8336.416,553.090,1.00
16,3,1,200,8890.333,8331.742,554.210,1.00
16,4,1,200,8890.531,8333.010,553.809,1.00
16,5,1,200,8896.099,8333.868,559.922,1.00
16,6,1,200,8902.167,8340.633,557.862,1.00
16,7,1,200,8902.146,8341.140,556.705,1.00
16,8,1,200,8895.644,8341.715,550.049,1.00
