concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size
1,40,40,0,22.805471666,1.7539650389969708,570.0775968249999,569.5018744999998,575.9065937499995,576.0593343700002,576.0996670000003,10.459046800001204,555.9652927249992,1.0
2,40,40,0,12.197699,3.2793070233984296,609.8178280249999,609.2589790000015,617.5439000000017,618.1754337599997,618.3951659999991,10.081896924998901,594.5023145499981,2.0
4,40,40,0,6.999257540999999,5.7148918675573,699.7167083999993,699.3470204999958,705.799544100002,707.2439515199982,708.024666,8.883470875004207,680.8194209000006,4.0
8,40,40,0,4.3392935840000035,9.218090277986585,867.0839083000001,867.2160000000026,873.7243167000017,876.3678852599967,877.7504999999976,3.360043574999949,843.9233331999958,8.0
16,40,40,0,4.237495541000001,9.43953795655451,1524.5695614750007,1679.9636034999992,1712.9731898999935,1713.1335362500004,1713.172,661.5821406499969,841.4972833999997,8.0
