tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,7.3088,503,2.03,nan,0,9.0
paid,7.3850,503,1.65,nan,0,9.0
free,7.4008,503,1.29,nan,0,9.0
paid,7.4623,503,2.37,nan,0,9.0
paid,7.5389,503,2.71,nan,0,9.0
free,7.6018,503,2.32,nan,0,9.0
paid,7.6163,503,1.97,nan,0,9.0
paid,7.6935,503,3.05,nan,0,9.0
paid,7.7697,503,2.71,nan,0,9.0
free,7.8006,503,1.53,nan,0,9.0
paid,7.8473,503,1.59,nan,0,9.0
paid,7.9240,200,2203.22,1076.15,0,1.0
free,8.0011,200,2126.91,998.34,0,2.0
paid,8.0018,200,2125.84,998.12,0,3.0
paid,8.0781,200,2048.83,921.58,0,4.0
paid,8.1548,200,1972.96,845.42,0,5.0
free,8.2008,200,3055.53,1922.44,0,6.0
paid,8.2318,200,1895.30,768.13,0,7.0
paid,8.3087,200,1816.08,690.97,0,8.0
paid,8.3852,503,2.12,nan,0,9.0
free,8.4015,503,1.59,nan,0,9.0
paid,8.4632,503,1.99,nan,0,9.0
paid,8.5394,503,2.06,nan,0,9.0
free,8.6016,503,1.99,nan,0,9.0
paid,8.6157,503,1.62,nan,0,9.0
paid,8.6925,503,2.13,nan,0,9.0
paid,8.7698,503,2.08,nan,0,9.0
free,8.8010,503,1.87,nan,0,9.0
paid,8.8470,503,1.86,nan,0,9.0
paid,8.9241,503,2.24,nan,0,9.0
free,9.0005,200,2256.17,1118.32,0,1.0
paid,9.0011,200,2254.89,1118.07,0,2.0
paid,9.0782,200,2173.13,1044.94,0,3.0
paid,9.1543,200,2101.41,968.82,0,4.0
free,9.2003,200,3182.59,2048.60,1,5.0
paid,9.2313,200,2025.79,892.10,0,6.0
paid,9.3082,200,1949.30,814.55,0,7.0
paid,9.3853,200,1870.05,737.62,0,8.0
free,9.4009,503,1.78,nan,0,9.0
paid,9.4628,503,2.02,nan,0,9.0
paid,9.5390,503,1.77,nan,0,9.0
free,9.6010,503,2.11,nan,0,9.0
paid,9.6172,503,1.70,nan,0,9.0
paid,9.6931,503,2.04,nan,0,9.0
paid,9.7703,503,2.16,nan,0,9.0
free,9.8006,503,1.73,nan,0,9.0
paid,9.8464,503,1.88,nan,0,9.0
paid,9.9235,503,1.99,nan,0,9.0
free,10.0007,503,2.27,nan,0,9.0
paid,10.0012,503,2.15,nan,0,9.0
paid,10.0775,503,1.67,nan,0,9.0
paid,10.1551,200,2226.42,1093.84,0,1.0
free,10.2011,200,2182.18,1047.88,0,2.0
paid,10.2311,200,2150.75,1017.78,0,3.0
paid,10.3081,200,2074.14,940.66,0,4.0
paid,10.3852,200,1991.80,863.61,0,5.0
