concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size,ttft_client_p50,ttft_client_p95,ttft_server_p50,ttft_server_p95
1,40,40,0,22.65491025,1.7656216492846182,566.3519780249999,566.0628125000003,570.9149645999996,571.6881413899996,571.813916,10.33535940000263,553.0408645999998,1.0,60.50329150000033,66.26116519999856,58.22468750000098,64.32164795000404
2,40,40,0,12.168781249999999,3.2870999304059314,608.39901355,608.5164374999988,613.3203336500005,613.9732399899981,614.0849589999959,10.023326125000409,594.2546686500009,2.0,61.46012500000175,66.70364200000058,59.600937500007944,64.08248480001077
4,40,40,0,6.930288582999999,5.771765420868622,692.8449676749995,692.7704789999964,700.6919253499956,701.179890880001,701.2776669999994,9.313851050000466,676.7077585000038,4.0,64.01999949999748,70.46888364999475,59.90895800000828,66.45083510000234
8,40,40,0,4.259083916999998,9.391690978508612,851.5478656500005,851.166625500003,858.6821521000013,859.4860045100017,859.966208000003,2.5081958750035938,840.0530584000023,8.0,61.02952100000181,70.65907675000211,55.23647900000128,62.93712739998937
16,40,40,0,4.205954667,9.510325994200736,1513.1625251,1680.1171875000023,1683.8874851000028,1684.476343749998,1684.5336250000003,665.1844209249994,837.6847749999854,8.0,888.3839590000023,894.2614913500001,881.690687499983,889.2774832999962
