concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size,ttft_client_p50,ttft_client_p95,ttft_server_p50,ttft_server_p95
1,16,16,0,13.059918084,1.2251225388313853,816.2262318124999,812.0847709999994,845.26628125,846.9931562499997,847.4248749999997,10.383802185970126,803.6013126220496,1.0,nan,nan,44.014374987455085,53.49764598940965
4,16,16,0,3.614396375,4.426741934190878,903.2656536874999,909.9113124999984,921.6511252500003,921.6780250500005,921.6847500000007,9.752981815836392,888.063708502159,4.0,nan,nan,67.42760450288188,83.22152100299718
8,16,16,0,2.0438302079999993,7.8284389463334545,1019.857864625,1020.4738960000004,1024.399010749999,1024.5102357499995,1024.5380419999997,2.6364479381300043,1006.4708120044088,8.0,nan,nan,148.83264600939583,172.43569801212288
