concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size,ttft_client_p50,ttft_client_p95,ttft_server_p50,ttft_server_p95
1,40,40,0,33.11439060297562,1.2079340513790295,827.8486795752542,826.3890124799218,835.6622082617832,845.4565056139836,850.523816945497,0.035586050944402814,824.8036137360032,1.0,nan,nan,19.720120006240904,19.912691472563893
2,40,40,0,33.5769438429852,1.1912936504004275,1658.1547418027185,1660.41067650076,1741.5140630444512,1754.118299066904,1758.8347980054095,816.2149513183977,839.1479722224176,1.0,nan,nan,848.0823209974915,900.2851860743249
4,40,40,0,33.20592077099718,1.2046044521956736,3194.9889921277645,3313.6464829731267,3348.6791518807877,3356.062578697456,3360.209343023598,2361.866197947529,829.7683711658465,1.0,nan,nan,2502.219371002866,2535.524003166938
8,40,40,0,33.169235948007554,1.2059367319373773,6055.222263543692,6628.244485007599,6668.938068251009,6670.914222163265,6671.517200011294,5221.779312771105,828.7220686965156,1.0,nan,nan,5817.217653006082,5852.8975154447835
16,40,40,0,33.104026551009156,1.208312225655239,10760.693115775939,13230.475339019904,13249.118523811921,13249.501097188331,13249.506291991565,9921.807190695836,826.7294596211286,1.0,nan,nan,12418.4780389769,12437.49160868465
