tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,11.7004,200,1710.08,591.42,0,6.0
paid,11.8012,200,1611.16,490.84,0,7.0
paid,11.9009,200,1508.99,391.12,0,8.0
free,12.0006,503,4.63,nan,0,9.0
paid,12.0015,503,4.51,nan,0,9.0
paid,12.1003,503,2.64,nan,0,9.0
paid,12.2013,503,2.62,nan,0,9.0
paid,12.3008,200,2221.68,1104.43,0,1.0
paid,12.4013,200,2120.24,1003.54,0,2.0
paid,12.5010,200,2021.08,903.82,0,3.0
paid,12.6008,200,1921.97,803.90,0,4.0
paid,12.7006,200,1821.21,704.07,0,5.0
paid,12.8004,200,1716.81,604.38,0,6.0
paid,12.9011,200,1620.11,503.36,0,7.0
paid,13.0008,200,1520.05,403.13,0,8.0
free,13.0018,503,3.07,nan,0,9.0
paid,13.1010,503,1.69,nan,0,9.0
paid,13.2009,503,3.39,nan,0,9.0
paid,13.3006,503,3.11,nan,0,9.0
paid,13.4010,503,3.01,nan,0,9.0
paid,13.5013,200,2138.66,1013.43,0,1.0
paid,13.6010,200,2041.59,914.12,0,2.0
paid,13.7012,200,1942.61,813.39,0,3.0
paid,13.8009,200,1843.11,713.76,0,4.0
paid,13.9007,200,1741.22,614.02,0,5.0
free,14.0005,200,2755.22,1636.13,0,6.0
paid,14.0015,200,1641.35,512.39,0,7.0
paid,14.1006,200,1541.51,413.95,0,8.0
paid,14.2003,503,3.15,nan,0,9.0
paid,14.3007,503,2.74,nan,0,9.0
paid,14.4007,503,2.69,nan,0,9.0
paid,14.5007,503,2.64,nan,0,9.0
paid,14.6010,200,2156.40,1037.06,0,1.0
paid,14.7002,200,2054.88,938.06,0,2.0
paid,14.8003,200,1955.78,837.24,0,3.0
paid,14.9012,200,1856.64,736.46,0,4.0
paid,15.0011,200,1754.33,635.56,0,5.0
free,15.0021,200,2863.58,1746.65,0,6.0
paid,15.1004,200,1654.38,537.64,0,7.0
paid,15.2005,200,1551.28,437.29,0,8.0
paid,15.3012,503,2.15,nan,0,9.0
paid,15.4005,503,2.09,nan,0,9.0
paid,15.5009,503,2.68,nan,0,9.0
paid,15.6008,503,2.29,nan,0,9.0
paid,15.7002,200,2169.40,1049.41,0,1.0
paid,15.8005,200,2064.86,948.95,0,2.0
paid,15.9011,200,1968.85,848.13,0,3.0
free,16.0009,200,2978.91,1860.18,0,4.0
paid,16.0019,200,1868.76,746.95,0,5.0
paid,16.1012,200,1767.82,648.14,0,6.0
paid,16.2009,200,1669.44,548.07,0,7.0
paid,16.3006,200,1568.71,449.02,0,8.0
paid,16.4009,503,2.64,nan,0,9.0
paid,16.5008,503,3.02,nan,0,9.0
paid,16.6011,503,2.97,nan,0,9.0
paid,16.7003,503,2.94,nan,0,9.0
paid,16.8010,200,2178.41,1061.34,0,1.0
paid,16.9007,200,2078.27,961.89,0,2.0
paid,17.0011,200,1978.23,861.11,0,3.0
free,17.0016,200,3097.28,1973.95,0,4.0
paid,17.1008,200,1878.23,761.48,0,5.0
paid,17.2005,200,1778.71,661.72,0,6.0
paid,17.3012,200,1677.62,561.12,0,7.0
paid,17.4009,200,1576.42,461.41,0,8.0
paid,17.5006,503,2.98,nan,0,9.0
paid,17.6009,503,3.00,nan,0,9.0
paid,17.7012,503,2.88,nan,0,9.0
paid,17.8004,503,2.96,nan,0,9.0
paid,17.9009,200,2197.11,1074.38,0,1.0
free,18.0006,200,3212.31,2089.09,0,2.0
paid,18.0016,200,2096.70,973.22,0,3.0
paid,18.1008,200,1998.46,874.39,0,4.0
paid,18.2006,200,1896.79,774.65,0,5.0
paid,18.3003,200,1793.28,674.86,0,6.0
paid,18.4010,200,1697.58,573.58,0,7.0
paid,18.5007,200,1596.96,474.50,0,8.0
paid,18.6004,503,2.96,nan,0,9.0
paid,18.7006,503,2.82,nan,0,9.0
paid,18.8006,503,3.16,nan,0,9.0
paid,18.9011,503,2.59,nan,0,9.0
paid,19.0010,200,2211.12,1090.21,0,1.0
free,19.0014,200,4433.73,3318.84,0,2.0
paid,19.1005,200,2111.29,991.06,0,3.0
paid,19.2005,200,2011.96,890.06,0,4.0
paid,19.3004,200,1910.62,790.07,0,5.0
paid,19.4005,200,1810.90,689.82,0,6.0
paid,19.5005,200,1706.87,589.97,0,7.0
paid,19.6003,200,1606.72,490.45,0,8.0
paid,19.7011,503,3.76,nan,0,9.0
paid,19.8012,503,2.71,nan,0,9.0
