concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size
4,3,8,200,705.788,8.197,684.701,4.00
4,0,9,200,705.348,10.022,683.682,4.00
4,1,9,200,701.553,8.559,683.682,4.00
4,2,9,200,701.989,7.904,683.682,4.00
4,3,9,200,701.376,7.515,683.682,4.00
8,1,0,200,856.473,1.398,842.949,8.00
8,6,0,200,860.034,1.449,842.949,8.00
8,2,0,200,862.510,1.346,842.949,8.00
8,4,0,200,863.130,1.254,842.949,8.00
8,0,0,200,866.126,1.698,842.949,8.00
8,5,0,200,865.323,1.510,842.949,8.00
8,3,0,200,867.158,1.298,842.949,8.00
8,7,0,200,866.695,1.160,842.949,8.00
8,3,1,200,860.055,2.801,843.631,8.00
8,1,1,200,872.635,8.865,843.631,8.00
8,2,1,200,871.220,4.842,843.631,8.00
8,5,1,200,868.351,1.577,843.631,8.00
8,7,1,200,867.274,3.716,843.631,8.00
8,0,1,200,871.959,6.961,843.631,8.00
8,4,1,200,874.205,2.069,843.631,8.00
8,6,1,200,877.750,1.169,843.631,8.00
8,3,2,200,872.483,6.742,847.305,8.00
8,1,2,200,872.423,6.600,847.305,8.00
8,5,2,200,870.184,4.092,847.305,8.00
8,4,2,200,867.665,1.418,847.305,8.00
8,2,2,200,872.717,2.772,847.305,8.00
8,0,2,200,870.467,5.244,847.305,8.00
8,6,2,200,869.212,1.891,847.305,8.00
8,7,2,200,873.699,1.156,847.305,8.00
8,3,3,200,866.346,6.247,845.033,8.00
8,1,3,200,870.348,6.165,845.033,8.00
8,4,3,200,866.986,3.800,845.033,8.00
8,6,3,200,865.559,1.398,845.033,8.00
8,5,3,200,869.980,2.607,845.033,8.00
8,0,3,200,868.528,4.949,845.033,8.00
8,7,3,200,867.474,1.867,845.033,8.00
8,2,3,200,871.392,1.151,845.033,8.00
8,3,4,200,866.245,8.520,840.699,8.00
8,1,4,200,861.526,6.963,840.699,8.00
8,4,4,200,863.367,4.322,840.699,8.00
8,6,4,200,862.388,1.470,840.699,8.00
8,7,4,200,859.842,2.748,840.699,8.00
8,0,4,200,861.155,6.035,840.699,8.00
8,5,4,200,862.503,1.973,840.699,8.00
8,2,4,200,859.970,1.159,840.699,8.00
16,4,0,200,856.943,0.497,837.525,8.00
16,3,0,200,858.425,0.532,837.525,8.00
16,1,0,200,863.891,0.616,837.525,8.00
16,6,0,200,863.244,0.420,837.525,8.00
16,0,0,200,866.692,0.739,837.525,8.00
16,2,0,200,866.721,0.570,837.525,8.00
16,5,0,200,866.535,0.457,837.525,8.00
16,7,0,200,867.142,0.385,837.525,8.00
16,8,0,200,1703.567,838.279,848.269,8.00
16,10,0,200,1708.697,838.126,848.269,8.00
16,12,0,200,1709.138,838.048,848.269,8.00
16,14,0,200,1709.438,837.978,848.269,8.00
16,11,0,200,1711.473,838.090,848.269,8.00
16,9,0,200,1713.172,838.164,848.269,8.00
16,13,0,200,1712.968,838.013,848.269,8.00
16,15,0,200,1713.073,837.784,848.269,8.00
16,4,1,200,1693.754,831.438,844.956,8.00
16,3,1,200,1696.587,831.331,844.956,8.00
16,1,1,200,1692.592,830.157,844.956,8.00
16,2,1,200,1690.315,826.891,844.956,8.00
