idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
312,17.3339,503,2.03,nan,nan,10.0
313,17.3891,503,1.91,nan,nan,10.0
314,17.4452,503,2.78,nan,nan,10.0
315,17.5012,503,3.12,nan,nan,10.0
316,17.5576,503,2.64,nan,nan,10.0
317,17.6114,503,2.86,nan,nan,10.0
318,17.6676,200,2189.63,1083.22,8.0,2.0
319,17.7231,200,2139.38,1027.60,8.0,3.0
320,17.7787,200,2084.08,972.00,8.0,4.0
321,17.8343,200,2025.47,916.37,8.0,5.0
322,17.8899,200,1970.18,860.80,8.0,6.0
323,17.9454,200,1915.22,805.30,8.0,7.0
324,18.0010,200,2960.83,1853.77,8.0,8.0
325,18.0565,200,2910.13,1798.60,8.0,9.0
326,18.1120,503,2.86,nan,nan,10.0
327,18.1681,503,2.84,nan,nan,10.0
328,18.2242,503,2.77,nan,nan,10.0
329,18.2782,503,2.78,nan,nan,10.0
330,18.3342,503,2.75,nan,nan,10.0
331,18.3902,503,2.79,nan,nan,10.0
332,18.4462,503,2.83,nan,nan,10.0
333,18.5003,503,2.81,nan,nan,10.0
334,18.5563,503,2.76,nan,nan,10.0
335,18.6123,503,2.69,nan,nan,10.0
336,18.6682,503,2.76,nan,nan,10.0
337,18.7242,503,2.78,nan,nan,10.0
338,18.7789,200,2188.17,1076.24,8.0,2.0
339,18.8343,200,2131.94,1020.87,8.0,3.0
340,18.8898,200,2075.66,965.88,8.0,4.0
341,18.9447,200,2022.73,911.00,8.0,5.0
342,19.0006,200,1965.25,855.13,8.0,6.0
343,19.0566,200,1905.65,798.69,8.0,7.0
344,19.1121,200,2946.04,1846.50,4.0,8.0
345,19.1676,200,2888.35,1791.19,4.0,9.0
346,19.2232,503,2.85,nan,nan,10.0
347,19.2793,503,3.28,nan,nan,10.0
348,19.3338,503,2.92,nan,nan,10.0
349,19.3899,503,2.87,nan,nan,10.0
350,19.4460,503,2.77,nan,nan,10.0
351,19.5020,503,2.91,nan,nan,10.0
352,19.5562,503,2.77,nan,nan,10.0
353,19.6122,503,2.74,nan,nan,10.0
354,19.6681,503,2.80,nan,nan,10.0
355,19.7242,503,2.82,nan,nan,10.0
356,19.7782,503,2.75,nan,nan,10.0
357,19.8342,503,2.80,nan,nan,10.0
358,19.8903,200,2168.34,1068.35,4.0,2.0
359,19.9452,200,2113.92,1013.37,4.0,3.0
