tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,11.5003,200,1678.59,833.16,0,8.0
paid,11.6012,200,1578.71,731.47,0,9.0
paid,11.7005,200,1479.03,632.47,0,10.0
paid,11.8010,200,1378.25,531.25,0,11.0
paid,11.9006,200,1279.65,431.73,0,12.0
free,12.0010,200,10437.51,9580.17,0,13.0
paid,12.0023,200,1174.06,330.12,0,14.0
paid,12.1003,200,1076.35,232.72,0,15.0
paid,12.2010,503,4.03,nan,0,16.0
paid,12.3013,503,3.83,nan,0,16.0
paid,12.4012,200,1611.55,769.62,0,8.0
paid,12.5012,200,1514.92,669.96,0,9.0
paid,12.6008,200,1414.44,569.78,0,10.0
paid,12.7012,200,1314.63,470.04,0,11.0
paid,12.8012,200,1211.77,369.72,0,12.0
paid,12.9012,200,1115.18,269.87,0,13.0
free,13.0014,200,10282.18,9426.78,0,14.0
paid,13.0027,200,1012.76,168.35,0,15.0
paid,13.1012,503,4.13,nan,0,16.0
paid,13.2012,200,1655.13,807.78,0,8.0
paid,13.3012,200,1556.49,707.80,0,9.0
paid,13.4010,200,1456.30,607.75,0,10.0
paid,13.5012,200,1355.74,507.77,0,11.0
paid,13.6010,200,1255.57,407.43,0,12.0
paid,13.7012,200,1157.27,308.07,0,13.0
paid,13.8012,200,1052.53,207.92,0,14.0
paid,13.9012,200,952.88,107.89,0,15.0
paid,14.0013,503,4.78,nan,0,16.0
free,14.0029,503,4.97,nan,0,16.0
paid,14.1012,200,1591.81,746.32,0,8.0
paid,14.2005,200,1495.97,647.06,0,9.0
paid,14.3012,200,1396.06,546.25,0,10.0
paid,14.4011,200,1294.50,446.89,0,11.0
paid,14.5012,200,1195.66,346.44,0,12.0
paid,14.6012,200,1094.62,246.30,0,13.0
paid,14.7012,200,996.73,147.23,0,14.0
paid,14.8012,200,894.92,46.43,0,15.0
paid,14.9012,200,1640.28,786.07,0,8.0
free,15.0013,200,9123.47,8272.26,0,9.0
paid,15.0028,200,1539.82,684.54,0,10.0
paid,15.1012,200,1441.02,586.17,0,11.0
paid,15.2008,200,1341.03,486.52,0,12.0
paid,15.3013,200,1241.83,386.15,0,13.0
paid,15.4012,200,1137.27,286.59,0,14.0
paid,15.5010,200,1037.86,186.69,0,15.0
paid,15.6010,503,3.18,nan,0,16.0
paid,15.7004,200,1676.81,833.74,0,8.0
paid,15.8010,200,1579.55,731.86,0,9.0
paid,15.9005,200,1480.49,632.50,0,10.0
paid,16.0009,200,1379.00,529.24,0,11.0
free,16.0030,200,8969.38,8111.18,0,12.0
paid,16.1011,200,1276.39,432.54,0,13.0
paid,16.2012,200,1180.11,331.51,0,14.0
paid,16.3013,200,1078.95,230.34,0,15.0
paid,16.4012,503,4.26,nan,0,16.0
paid,16.5012,503,3.09,nan,0,16.0
paid,16.6011,200,1622.50,770.05,0,8.0
paid,16.7005,200,1524.28,671.02,0,9.0
paid,16.8009,200,1423.44,570.44,0,10.0
paid,16.9012,200,1322.72,470.41,0,11.0
free,17.0013,200,9645.36,8795.73,0,12.0
paid,17.0028,200,1222.61,368.25,0,13.0
paid,17.1012,200,1119.54,270.11,0,14.0
paid,17.2009,200,1020.19,170.96,0,15.0
paid,17.3012,503,3.52,nan,0,16.0
paid,17.4011,200,1667.87,815.05,0,8.0
paid,17.5011,200,1568.47,714.74,0,9.0
paid,17.6010,200,1469.29,614.41,0,10.0
paid,17.7012,200,1365.63,514.04,0,11.0
paid,17.8012,200,1268.74,414.56,0,12.0
paid,17.9007,200,1168.58,315.20,0,13.0
paid,18.0005,200,1070.19,213.39,0,14.0
free,18.0020,200,9484.34,8633.95,0,15.0
paid,18.1012,503,2.88,nan,0,16.0
paid,18.2012,503,3.32,nan,0,16.0
paid,18.3012,200,1607.69,759.17,0,8.0
paid,18.4012,200,1508.51,659.19,0,9.0
paid,18.5010,200,1408.45,559.93,0,10.0
paid,18.6013,200,1307.85,459.50,0,11.0
paid,18.7012,200,1209.13,359.40,0,12.0
paid,18.8012,200,1105.38,259.32,0,13.0
paid,18.9013,200,1005.56,158.60,0,14.0
free,19.0012,200,9326.80,8475.85,0,15.0
paid,19.0024,503,4.20,nan,0,16.0
paid,19.1012,200,1650.00,800.12,0,8.0
paid,19.2013,200,1547.35,699.44,0,9.0
paid,19.3013,200,1450.22,599.45,0,10.0
paid,19.4010,200,1350.91,500.05,0,11.0
paid,19.5009,200,1247.40,400.24,0,12.0
paid,19.6008,200,1151.40,300.61,0,13.0
paid,19.7008,200,1050.03,200.89,0,14.0
paid,19.8006,200,952.22,100.61,0,15.0
paid,19.9012,200,1686.83,840.48,0,8.0
paid,20.0013,200,1590.39,739.34,0,9.0
free,20.0029,200,9166.58,8318.56,0,10.0
paid,20.1010,200,1489.73,642.35,0,11.0
paid,20.2012,200,1390.09,541.18,0,12.0
paid,20.3012,200,1289.82,441.82,0,13.0
paid,20.4012,200,1190.85,342.39,0,14.0
paid,20.5011,200,1087.20,242.52,0,15.0
paid,20.6011,503,3.35,nan,0,16.0
paid,20.7005,503,3.17,nan,0,16.0
paid,20.8012,200,1635.91,780.59,0,8.0
paid,20.9009,200,1533.72,681.27,0,9.0
free,21.0012,200,9006.89,8156.57,0,10.0
paid,21.0026,200,1435.21,579.86,0,11.0
paid,21.1012,200,1333.15,481.37,0,12.0
paid,21.2012,200,1236.26,381.45,0,13.0
paid,21.3009,200,1135.96,281.45,0,14.0
paid,21.4012,200,1036.96,180.96,0,15.0
paid,21.5012,503,3.96,nan,0,16.0
paid,21.6011,200,1682.82,828.78,0,8.0
paid,21.7011,200,1583.88,728.37,0,9.0
paid,21.8009,200,1483.72,627.71,0,10.0
