tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
free,6.2512,503,3.19,nan,0,16.0
paid,6.2869,503,2.99,nan,0,16.0
paid,6.3584,503,3.30,nan,0,16.0
paid,6.4293,503,2.94,nan,0,16.0
paid,6.5044,200,1689.35,832.46,0,8.0
free,6.5057,200,3378.13,2526.36,1,9.0
paid,6.5727,200,1621.49,764.82,0,10.0
paid,6.6441,200,2395.74,1540.08,0,11.0
paid,6.7155,200,2326.15,1468.42,0,12.0
free,6.7514,200,3129.76,2280.34,1,13.0
paid,6.7869,200,2252.59,1397.88,0,14.0
paid,6.8583,200,2181.82,1325.16,0,15.0
paid,6.9291,503,3.54,nan,0,16.0
free,7.0011,503,3.67,nan,0,16.0
paid,7.0019,503,3.61,nan,0,16.0
paid,7.0726,503,2.88,nan,0,16.0
paid,7.1436,503,3.03,nan,0,16.0
paid,7.2154,503,1.94,nan,0,16.0
free,7.2505,503,1.74,nan,0,16.0
paid,7.2860,503,2.31,nan,0,16.0
paid,7.3583,200,1682.27,826.84,0,8.0
paid,7.4298,200,1611.39,754.88,0,9.0
free,7.5013,200,3226.72,2373.54,1,10.0
paid,7.5025,200,2382.09,1529.03,0,11.0
paid,7.5721,200,2312.14,1459.42,0,12.0
paid,7.6430,200,2238.43,1389.66,0,13.0
paid,7.7154,200,2169.70,1317.20,0,14.0
free,7.7511,200,2973.06,2125.45,1,15.0
paid,7.7866,503,2.78,nan,0,16.0
paid,7.8583,503,3.20,nan,0,16.0
paid,7.9298,503,3.77,nan,0,16.0
free,8.0010,503,4.61,nan,0,16.0
paid,8.0019,503,4.57,nan,0,16.0
paid,8.0725,503,3.52,nan,0,16.0
paid,8.1435,503,3.09,nan,0,16.0
paid,8.2146,200,1671.26,817.27,0,8.0
free,8.2509,200,3323.66,2469.38,1,9.0
paid,8.2869,200,1599.29,744.84,0,10.0
paid,8.3584,200,2368.97,1517.46,0,11.0
paid,8.4294,200,2299.00,1446.44,0,12.0
free,8.5013,200,3073.68,2216.90,1,13.0
paid,8.5025,200,2221.43,1373.35,0,14.0
paid,8.5718,200,2154.54,1302.33,0,15.0
paid,8.6441,503,4.17,nan,0,16.0
paid,8.7155,503,3.73,nan,0,16.0
free,8.7512,503,3.28,nan,0,16.0
paid,8.7864,503,2.71,nan,0,16.0
paid,8.8579,503,3.83,nan,0,16.0
paid,8.9298,503,3.09,nan,0,16.0
free,9.0012,503,4.25,nan,0,16.0
paid,9.0023,503,3.89,nan,0,16.0
paid,9.0727,200,1653.97,803.16,0,8.0
paid,9.1434,200,1583.61,732.71,0,9.0
paid,9.2156,200,2355.68,1503.20,0,10.0
free,9.2512,200,3163.67,2314.94,1,11.0
paid,9.2869,200,2287.28,1432.35,0,12.0
paid,9.3584,200,2213.18,1360.75,0,13.0
paid,9.4296,200,2144.34,1289.70,0,14.0
free,9.5013,200,2916.55,2062.56,1,15.0
paid,9.5033,503,3.86,nan,0,16.0
paid,9.5727,503,3.92,nan,0,16.0
paid,9.6441,503,3.70,nan,0,16.0
paid,9.7155,503,3.47,nan,0,16.0
free,9.7511,503,2.85,nan,0,16.0
paid,9.7869,503,2.51,nan,0,16.0
paid,9.8583,503,3.23,nan,0,16.0
paid,9.9298,200,1645.58,789.35,0,8.0
free,10.0012,200,3256.94,2407.19,1,9.0
paid,10.0027,200,1573.34,716.52,0,10.0
paid,10.0723,200,2346.57,1493.74,0,11.0
paid,10.1440,200,2274.47,1421.96,0,12.0
paid,10.2149,200,2202.67,1351.30,0,13.0
free,10.2512,200,3003.79,2159.34,1,14.0
paid,10.2869,200,2132.50,1278.92,0,15.0
paid,10.3583,503,3.12,nan,0,16.0
paid,10.4298,503,3.45,nan,0,16.0
free,10.5009,503,3.85,nan,0,16.0
paid,10.5018,503,3.57,nan,0,16.0
paid,10.5726,503,4.20,nan,0,16.0
paid,10.6441,503,3.43,nan,0,16.0
paid,10.7155,503,3.21,nan,0,16.0
free,10.7512,200,3342.70,2499.65,1,8.0
paid,10.7869,200,1631.31,779.35,0,9.0
paid,10.8583,200,1561.70,707.80,0,10.0
paid,10.9298,200,2328.74,1479.51,0,11.0
free,11.0013,200,3096.50,2247.62,1,12.0
paid,11.0027,200,2254.32,1406.96,0,13.0
paid,11.0726,200,2182.62,1337.58,0,14.0
paid,11.1432,200,2114.05,1266.93,0,15.0
paid,11.2155,503,4.29,nan,0,16.0
free,11.2505,503,2.64,nan,0,16.0
paid,11.2869,503,3.17,nan,0,16.0
paid,11.3584,503,3.63,nan,0,16.0
paid,11.4298,503,3.80,nan,0,16.0
free,11.5012,503,4.54,nan,0,16.0
paid,11.5023,503,4.28,nan,0,16.0
paid,11.5761,200,1683.33,834.72,0,8.0
paid,11.6434,200,1614.19,766.35,0,9.0
paid,11.7155,200,2382.71,1534.70,0,10.0
free,11.7512,200,3184.08,2337.67,1,11.0
paid,11.7869,200,2310.01,1463.71,0,12.0
paid,11.8583,200,2238.98,1392.24,0,13.0
paid,11.9298,200,2164.38,1320.31,0,14.0
free,12.0012,200,2932.98,2086.76,1,15.0
paid,12.0022,503,4.17,nan,0,16.0
paid,12.0726,503,3.25,nan,0,16.0
paid,12.1440,503,3.12,nan,0,16.0
paid,12.2151,503,2.90,nan,0,16.0
free,12.2511,503,3.09,nan,0,16.0
paid,12.2869,503,3.14,nan,0,16.0
paid,12.3583,503,2.88,nan,0,16.0
paid,12.4297,200,1666.86,821.48,0,8.0
paid,12.5012,200,1597.42,747.57,0,9.0
free,12.5026,200,3269.11,2423.00,1,10.0
paid,12.5726,200,2363.41,1516.15,0,11.0
paid,12.6435,200,2292.11,1445.30,0,12.0
paid,12.7155,200,2219.05,1373.47,0,13.0
free,12.7511,200,3024.96,2175.08,1,14.0
paid,12.7869,200,2148.03,1302.17,0,15.0
paid,12.8582,503,4.01,nan,0,16.0
paid,12.9298,503,3.63,nan,0,16.0
free,13.0012,503,3.99,nan,0,16.0
paid,13.0023,503,3.57,nan,0,16.0
paid,13.0726,503,2.71,nan,0,16.0
paid,13.1440,503,3.26,nan,0,16.0
paid,13.2154,503,3.21,nan,0,16.0
free,13.2511,200,3364.73,2514.52,1,8.0
paid,13.2869,200,1649.70,801.90,0,9.0
paid,13.3583,200,1578.64,730.46,0,10.0
paid,13.4298,200,2344.38,1495.74,0,11.0
free,13.5012,200,3117.99,2263.33,1,12.0
paid,13.5025,200,2268.87,1423.00,0,13.0
paid,13.5726,200,2201.96,1353.64,0,14.0
paid,13.6440,200,2130.90,1282.59,0,15.0
paid,13.7154,503,3.87,nan,0,16.0
free,13.7511,503,3.20,nan,0,16.0
paid,13.7869,503,3.28,nan,0,16.0
paid,13.8583,503,3.19,nan,0,16.0
paid,13.9298,503,4.86,nan,0,16.0
free,14.0012,503,3.82,nan,0,16.0
paid,14.0023,503,3.37,nan,0,16.0
paid,14.0726,503,3.26,nan,0,16.0
