concurrency,worker,index,status,latency_ms,wait_ms,inference_ms
8,3,1,200,4435.669,3878.319,553.245
8,4,1,200,4437.371,3880.593,552.508
8,5,1,200,4429.425,3873.874,551.486
8,6,1,200,4438.068,3877.123,557.010
8,7,1,200,4438.219,3877.304,556.686
8,0,2,200,4434.871,3881.715,549.735
8,1,2,200,4433.708,3876.835,553.553
8,2,2,200,4431.891,3871.317,557.201
8,3,2,200,4437.381,3874.156,558.714
8,4,2,200,4440.712,3880.734,556.500
8,5,2,200,4445.131,3885.841,555.352
8,6,2,200,4446.903,3884.662,558.306
8,7,2,200,4440.084,3886.032,550.172
8,0,3,200,4449.693,3887.678,558.085
8,1,3,200,4450.662,3892.227,555.564
8,2,3,200,4454.984,3889.930,561.252
8,3,3,200,4454.420,3892.387,558.504
8,4,3,200,4458.742,3894.970,559.981
8,5,3,200,4450.443,3899.008,548.307
8,6,3,200,4445.377,3888.535,552.862
8,7,3,200,4453.397,3891.308,558.191
8,0,4,200,4450.666,3889.950,555.502
8,1,4,200,4454.930,3892.113,558.432
8,2,4,200,4443.810,3889.251,551.377
8,3,4,200,4438.817,3882.030,552.928
8,4,4,200,4438.950,3874.331,560.777
8,5,4,200,4444.090,3887.497,552.398
8,6,4,200,4446.247,3886.310,555.621
8,7,4,200,4441.878,3884.133,553.236
16,1,0,200,573.286,0.697,552.955
16,0,0,200,1129.050,553.117,554.473
16,8,0,200,1682.090,1107.486,556.780
16,9,0,200,2234.905,1664.301,553.339
16,10,0,200,2785.817,2217.700,550.483
16,11,0,200,3335.993,2768.128,550.826
16,12,0,200,3894.549,3318.908,558.954
16,13,0,200,4449.590,3877.903,555.287
16,14,0,200,5005.679,4433.172,556.252
16,15,0,200,5564.540,4989.464,558.767
16,2,0,200,6123.185,5548.287,553.526
16,3,0,200,6683.561,6101.896,560.783
16,4,0,200,7243.334,6662.744,560.072
16,5,0,200,7793.628,7222.857,550.664
16,6,0,200,8348.060,7773.605,554.026
16,7,0,200,8900.415,8327.691,553.460
16,1,1,200,8884.567,8325.756,554.318
16,0,1,200,8879.423,8324.976,549.532
16,8,1,200,8872.648,8317.357,550.356
16,9,1,200,8873.339,8314.586,553.397
16,10,1,200,8881.284,8316.831,559.658
16,11,1,200,8892.479,8326.092,561.884
16,12,1,200,8891.552,8329.524,557.669
16,13,1,200,8885.773,8331.745,549.260
16,14,1,200,8882.846,8323.974,554.035
16,15,1,200,8877.789,8319.455,553.491
16,2,1,200,8880.195,8320.339,554.901
16,3,1,200,8877.522,8314.432,558.199
16,4,1,200,8868.355,8312.461,551.973
16,5,1,200,8878.942,8313.362,560.262
16,6,1,200,8881.804,8318.858,557.677
16,7,1,200,8880.742,8324.642,551.724
16,1,2,200,8880.511,8320.960,554.324
16,0,2,200,8888.938,8325.592,558.203
16,8,2,200,8900.782,8333.223,561.723
16,9,2,200,8895.631,8341.485,548.466
16,10,2,200,8886.706,8330.910,549.939
16,11,2,200,8880.284,8319.433,555.409
16,12,2,200,8878.920,8317.333,557.648
16,13,2,200,8889.789,8325.050,560.174
