concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size,ttft_client_p50,ttft_client_p95,ttft_server_p50,ttft_server_p95
1,40,40,0,22.709969417,1.7613409893038958,567.7311999249997,567.7518539999999,572.3272850999999,573.0419062500002,573.2625000000003,10.474011475000111,553.7161124250005,1.0,nan,nan,59.556416500008424,64.20500210000739
2,40,40,0,12.174275874999996,3.2856163611455877,608.6596344500003,608.3715625000004,613.9452375000016,614.6633581200011,614.8781670000005,10.295276125000896,594.0378354000003,2.0,nan,nan,59.769250000002216,64.60835415000048
4,40,40,0,6.943882792000004,5.760465894684125,694.3071958000004,693.8185000000026,699.0060250000016,700.0960149899978,700.3598339999968,9.582167699998578,677.9696376000004,4.0,nan,nan,62.14435350000258,65.48931665000026
8,40,40,0,4.269256708999997,9.369312441595797,853.4179063249998,852.1520419999965,863.0070645999972,863.1372576300025,863.1817500000025,2.0783249999968945,840.0183498000046,8.0,nan,nan,53.913646000005144,61.41416665000463
16,40,40,0,4.230143790999996,9.455943338168202,1521.4380739,1688.8385415000007,1694.2446479499981,1696.1078252599993,1696.5365000000006,666.6446322250032,842.0738833999964,8.0,nan,nan,890.4372285000051,896.1299826999948
