concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size
1,40,40,0,22.398795624999998,1.7858103029144454,559.9072156249995,559.8228544999997,565.5746996500004,565.7073553599988,565.7117919999984,0.046139549998258644,556.1984186750007,1.0
2,40,40,0,22.240018417,1.798559661687352,1098.0108946499993,1110.8555829999993,1121.0224725999956,1122.3435968799952,1123.1683329999953,538.4770490499985,555.6297738750015,1.0
4,40,40,0,22.233490958999994,1.7990876949446493,2140.2751614999997,2222.1726459999973,2234.927379800003,2238.6160262500025,2240.096125000001,1580.7455978999972,555.48293445,1.0
8,40,40,0,22.24874129199999,1.7978545156791792,4061.491310425,4445.0311875,4460.282733350001,4462.334478880001,4462.9813749999985,3501.1634781249986,555.8304447999994,1.0
16,40,40,0,22.25883237500001,1.7970394549952209,7232.4589625749995,8892.5251665,8908.132012499998,8915.668824999993,8916.305499999993,6668.815444750003,555.902132250005,1.0
