concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms,mean_batch_size,ttft_client_p50,ttft_client_p95,ttft_server_p50,ttft_server_p95
1,40,40,0,33.24568088300293,1.2031638076767517,831.1307476993534,830.60730600846,837.8548733948264,838.8664965034695,839.2171100131236,10.01216087024659,818.2862420217134,1.0,nan,nan,29.570860497187823,29.69707979937084
2,40,40,0,18.1180787429912,2.207739604591,905.8577498522936,905.1630354952067,909.8614442948019,915.5410829622997,915.69969401462,9.878484495857265,890.8084859489463,2.0,nan,nan,30.009148496901616,30.380842700833455
4,40,40,0,9.050149794027675,4.419816346730148,904.8723283456638,905.356742470758,910.2609330468113,910.739821230527,910.8851130004041,9.628593731031287,888.0602835910395,4.0,nan,nan,31.613819970516488,35.3658156003803
8,40,40,0,4.459234592039138,8.97014928781951,891.11966475175,891.4567044994328,895.5334144964581,898.6778451362625,899.0012229769491,2.6326502847950906,874.5619346154854,8.0,nan,nan,29.62464198935777,33.696181370760314
16,40,40,0,4.433144730050117,9.022940245749162,1595.2627519494854,1757.7770385250915,1791.2981966801453,1792.2655825561378,1792.6860259613022,695.4999692956335,877.9479350079782,8.0,nan,nan,895.1162635057699,906.2138923443854
