concurrency,requests,ok,failed,wall_s,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_wait_ms,mean_inference_ms
1,40,40,0,22.374670083,1.7877358571821582,559.3083896499996,559.0719374999994,564.2776062499994,564.9398193699997,565.331542,0.09156042499975925,555.6623978749997
2,40,40,0,22.225536667,1.799731570009337,1097.2605437499992,1109.9255209999974,1119.3472565999982,1122.2017290099975,1122.9444999999955,537.9752353250003,555.3528646249995
4,40,40,0,22.220709166000006,1.8001225658992088,2138.6088447000006,2220.7068744999997,2230.430374999998,2233.91008876,2234.012041,1579.379383375001,555.2271937000007
8,40,40,0,22.22867233400001,1.7994776925483642,4056.9163739999995,4440.1243334999945,4454.932349999992,4457.276479380002,4458.742083000005,3496.7694677249992,555.3480479499982
16,40,40,0,22.231629709000003,1.7992383160199383,7223.462518700001,8878.354042000004,8895.870208349994,8900.639163880001,8900.782375000006,6657.908273899999,555.1218115249995
